product_id,month,promotion,demand
1,2021-01-01,0,892
1,2021-02-01,0,957
1,2021-03-01,0,1012
1,2021-04-01,0,1080
1,2021-05-01,1,1205
1,2021-06-01,0,913
1,2021-07-01,0,960
1,2021-08-01,0,874
1,2021-09-01,0,840
1,2021-10-01,0,849
1,2021-11-01,1,1059
1,2021-12-01,0,981
1,2022-01-01,0,1020
1,2022-02-01,0,1057
1,2022-03-01,0,1061
1,2022-04-01,0,1069
1,2022-05-01,1,1309
1,2022-06-01,0,1151
1,2022-07-01,0,1028
1,2022-08-01,0,967
1,2022-09-01,0,965
1,2022-10-01,0,847
1,2022-11-01,1,1113
1,2022-12-01,0,1028
1,2023-01-01,0,1116
1,2023-02-01,0,1122
1,2023-03-01,0,1207
1,2023-04-01,0,1223
1,2023-05-01,1,1423
1,2023-06-01,0,1102
1,2023-07-01,0,1141
1,2023-08-01,0,974
1,2023-09-01,0,876
1,2023-10-01,0,978
1,2023-11-01,1,1164
1,2023-12-01,0,1133
1,2024-01-01,0,1189
1,2024-02-01,0,1152
1,2024-03-01,0,1317
1,2024-04-01,0,1238
1,2024-05-01,1,1459
1,2024-06-01,0,1231
1,2024-07-01,0,1200
1,2024-08-01,0,1186
1,2024-09-01,0,1139
1,2024-10-01,0,1114
1,2024-11-01,1,1334
1,2024-12-01,0,1195
1,2025-01-01,0,1202
1,2025-02-01,0,1264
1,2025-03-01,0,1328
1,2025-04-01,0,1404
1,2025-05-01,1,1534
1,2025-06-01,0,1459
1,2025-07-01,0,1233
1,2025-08-01,0,1165
1,2025-09-01,0,1230
1,2025-10-01,0,1257
1,2025-11-01,1,1410
1,2025-12-01,0,1299
1,2026-01-01,0,1398
1,2026-02-01,0,1382
1,2026-03-01,0,1360
1,2026-04-01,0,1432
1,2026-05-01,1,1684
1,2026-06-01,0,1336
1,2026-07-01,0,1364
1,2026-08-01,0,1323
2,2021-01-01,0,633
2,2021-02-01,0,757
2,2021-03-01,0,800
2,2021-04-01,0,919
2,2021-05-01,1,996
2,2021-06-01,0,711
2,2021-07-01,0,661
2,2021-08-01,0,593
2,2021-09-01,0,654
2,2021-10-01,0,562
2,2021-11-01,1,792
2,2021-12-01,0,708
2,2022-01-01,0,694
2,2022-02-01,0,785
2,2022-03-01,0,751
2,2022-04-01,0,815
2,2022-05-01,1,1015
2,2022-06-01,0,852
2,2022-07-01,0,842
2,2022-08-01,0,722
2,2022-09-01,0,700
2,2022-10-01,0,686
2,2022-11-01,1,940
2,2022-12-01,0,800
2,2023-01-01,0,833
2,2023-02-01,0,829
2,2023-03-01,0,986
2,2023-04-01,0,980
2,2023-05-01,1,1197
2,2023-06-01,0,911
2,2023-07-01,0,967
2,2023-08-01,0,787
2,2023-09-01,0,858
2,2023-10-01,0,767
2,2023-11-01,1,936
2,2023-12-01,0,773
2,2024-01-01,0,894
2,2024-02-01,0,1047
2,2024-03-01,0,1065
2,2024-04-01,0,1081
2,2024-05-01,1,1083
2,2024-06-01,0,1036
2,2024-07-01,0,975
2,2024-08-01,0,861
2,2024-09-01,0,820
2,2024-10-01,0,845
2,2024-11-01,1,1143
2,2024-12-01,0,861
2,2025-01-01,0,962
2,2025-02-01,0,1128
2,2025-03-01,0,1079
2,2025-04-01,0,1107
2,2025-05-01,1,1303
2,2025-06-01,0,1013
2,2025-07-01,0,1040
2,2025-08-01,0,908
2,2025-09-01,0,987
2,2025-10-01,0,929
2,2025-11-01,1,1258
2,2025-12-01,0,1018
2,2026-01-01,0,1145
2,2026-02-01,0,1065
2,2026-03-01,0,1181
2,2026-04-01,0,1229
2,2026-05-01,1,1478
2,2026-06-01,0,1073
2,2026-07-01,0,1166
2,2026-08-01,0,1092
3,2021-01-01,0,504
3,2021-02-01,0,526
3,2021-03-01,0,541
3,2021-04-01,0,532
3,2021-05-01,1,663
3,2021-06-01,0,526
3,2021-07-01,0,451
3,2021-08-01,0,520
3,2021-09-01,0,338
3,2021-10-01,0,381
3,2021-11-01,1,480
3,2021-12-01,0,415
3,2022-01-01,0,518
3,2022-02-01,0,616
3,2022-03-01,0,702
3,2022-04-01,0,643
3,2022-05-01,1,754
3,2022-06-01,0,624
3,2022-07-01,0,574
3,2022-08-01,0,520
3,2022-09-01,0,418
3,2022-10-01,0,509
3,2022-11-01,1,655
3,2022-12-01,0,559
3,2023-01-01,0,658
3,2023-02-01,0,689
3,2023-03-01,0,722
3,2023-04-01,0,847
3,2023-05-01,1,913
3,2023-06-01,0,667
3,2023-07-01,0,636
3,2023-08-01,0,659
3,2023-09-01,0,547
3,2023-10-01,0,560
3,2023-11-01,1,800
3,2023-12-01,0,577
3,2024-01-01,0,577
3,2024-02-01,0,755
3,2024-03-01,0,803
3,2024-04-01,0,780
3,2024-05-01,1,1032
3,2024-06-01,0,800
3,2024-07-01,0,659
3,2024-08-01,0,690
3,2024-09-01,0,613
3,2024-10-01,0,533
3,2024-11-01,1,843
3,2024-12-01,0,687
3,2025-01-01,0,715
3,2025-02-01,0,852
3,2025-03-01,0,901
3,2025-04-01,0,865
3,2025-05-01,1,1090
3,2025-06-01,0,907
3,2025-07-01,0,759
3,2025-08-01,0,766
3,2025-09-01,0,708
3,2025-10-01,0,824
3,2025-11-01,1,800
3,2025-12-01,0,811
3,2026-01-01,0,823
3,2026-02-01,0,901
3,2026-03-01,0,1063
3,2026-04-01,0,981
3,2026-05-01,1,1275
3,2026-06-01,0,911
3,2026-07-01,0,901
3,2026-08-01,0,802
